Text,Language
"விக்கிப்பீடியா (Wikipedia; /ˌwɪkɪˈpiːdiə/ (கேட்கⓘ) wik-ih-PEE-dee-ə அல்லது /ˌwɪkiˈpiːdiə/ (கேட்கⓘ) wik-ee-PEE-dee-ə) என்பது, வணிக நோக்கற்ற விக்கிமீடியா நிறுவனத்தின் உதவியுடன் நடத்தப்படும், கூட்டாகத் தொகுக்கப்படும், பன்மொழி, கட்டற்ற இணையக் கலைக்களஞ்சியமாகும்.",Tamil
"தமிழ் விக்கிப்பீடியாவின் 1,73,237 கட்டுரைகளுடன் சேர்த்து இதன் மொத்தக் கட்டுரைகளான 24 மில்லியன் கட்டுரைகளும் உலகெங்கிலுமுள்ள தன்னார்வலர்களால் கூட்டாக எழுதப்படுகின்றன.",Tamil
"பெரும்பாலும் இதன் எல்லாக் கட்டுரைகளும், இதனைப் பயன்படுத்தும் எவராலும், தொகுக்கப்படக் கூடுவன.",Tamil
"[5] மேலும் இது கிட்டத்தட்ட 100,000 முனைப்பான பங்களிப்பாளர்களையும் கொண்டுள்ளது.",Tamil
"[6][7] ஏப்ரல் 2025 வரையில், விக்கிப்பீடியா 285 மொழிகளில் செயற்படுகிறது.",Tamil
"இது இணையத்தளத்தில் இயங்கும் உசாத்துணைப் பகுதிகளிலேயே மிகவும் பெரியதும், அதிகப் புகழ்பெற்றதுமாகும்.",Tamil
"[8][9][10][11] மேலும், இது அலெக்சா இணையத்தளத்தில் காணப்படும் இணையத்தளங்களின் தரவரிசையில் ஆறாவது இடத்தில் உள்ளதோடு, உலகளவில் அண்ணளவாக 365 மில்லியன் வாசகர்களையும் கொண்டுள்ளது.",Tamil
"[8][12] விக்கிப்பீடியா, ஜிம்மி வேல்ஸ் மற்றும் லாரி சாங்கர் ஆகியோரால் சனவரி 15, 2001-இல் தொடங்கப்பட்டது.",Tamil
"[13] சாங்கர் அவர்கள், விக்கிப்பீடியா என்ற சொல்லை,[14] விக்கி (ஒருவகை கூட்டாக்க இணையத்தளம்.",Tamil
"இது ஹவாய் மொழியில் ""விரைவு"" எனப் பொருள்படும் விக்கி என்ற சொல்லிலிருந்து பெறப்பட்டது.",Tamil
")[15] மற்றும் பீடியா (கலைக்களஞ்சியத்தின் ஆங்கிலச் சொல்லான என்சைக்ளோபீடியாவிலிருந்து), ஆகிய சொற்களின் இணைப்பாக உருவாக்கினார்.",Tamil
"2006-இல், டைம் சஞ்சிகை, உலகளவில் இணைய மக்கள் கூட்டுப் பங்களிப்பின் விரைவான வளர்ச்சிக்கு, யூடியூப், மைஸ்பேஸ் மற்றும் ஃபேஸ்புக் ஆகியவற்றுக்கு மேலதிகமாக, விக்கிப்பீடியாவினது பங்களிப்பையும் குறிப்பிட்டுள்ளது.",Tamil
"[16] விக்கிப்பீடியா, ஒரு செய்தி ஊடகமாகவும் குறிப்பிடப்படுகிறது.",Tamil
"இதற்குக் காரணம், தலைப்புச் செய்திகள் தொடர்பான கட்டுரைகள் அடிக்கடி இற்றைப்படுத்தப்படுவதேயாகும்.",Tamil
"[17][18][19] விக்கிப்பீடியாவின் திறந்த பாங்கு, பல்வேறு சிக்கல்களையும் உருவாக்கியுள்ளது.",Tamil
"இவற்றுள் கட்டுரைகளின் தரம்,[20] தேவையற்ற தொகுப்புக்கள்[21][22] மற்றும் தகவல்களின் துல்லியத்தன்மை போன்றவற்றைக் குறிப்பிடலாம்.",Tamil
"சில கட்டுரைகள், உறுதிப்படுத்தப்படாத அல்லது முரண்பாடான தகவல்களைக் கொண்டிருந்தாலும்,[23] நேச்சர் இதழ் மூலம் 2005-இல் மேற்கொள்ளப்பட்ட ஆய்வின் மூலம், இதிலுள்ள அறிவியல் கட்டுரைகள், பிரித்தானிக்கா கலைக்களஞ்சியத்தின் கட்டுரைகளைப் போல் துல்லியத்தன்மை கொண்டன எனக் கண்டறியப்பட்டது.",Tamil
"மேலும், இரண்டிலும் தலைமையான தவறுகள் ஒரேயளவினதாய் இருந்தன.",Tamil
"[24] இதற்குப் பதிலளிக்குமுகமாக, பிரிட்டானிக்கா, இந்த ஆய்வின் வழிமுறைகள் மற்றும் முடிவுகளில் தவறுகள் உள்ளதாகத் தெரிவித்தது.",Tamil
"[25] எனினும் இதனை மறுத்துரைத்த நேச்சர், தனது தரப்பில் இதற்கான முறையான அறிக்கையையும், பிரிட்டானிக்காவின் தலைமையான மறுப்புக்களுக்கான எதிர் வாதங்களையும் வெளியிட்டது.",Tamil
[26][27] யாரும் இலகுவில் வேகமாக இணையத்தொடர்பையும் உலாவியையும் மட்டும் பயன்படுத்தித் தொகுக்கக்கூடியவாறு இத்திட்டம் அமைந்துள்ளது.,Tamil
"""அனைத்து மனித அறிவும், கட்டற்ற முறையில் மொழிகளைக் கடந்து, எல்லோருக்கும் கிடைக்கவேண்டும்” என்பதே விக்கிப்பீடியாவின் உயரிய நோக்கமாகும்.",Tamil
"இத்திட்டம் இலாப நோக்கமற்றது; பக்கச் சார்பற்றது; நடுநிலைமையை வலியுறுத்துவது; இதன் நுட்பக் கட்டமைப்பும், கட்டற்ற திறந்த வழியில் ஆக்கப்பட்டு உபயோகிக்கப்படுகின்றது.",Tamil
"விக்கிப்பீடியாவிற்கு முன்னதான வேறு சில இணையத்தில், கூட்டு கலைக்களஞ்சிய உருவாக்கத்திற்கான முயற்சிகள் இருந்தபோதிலும், அவை வெற்றியடையவில்லை.",Tamil
"[28] முதலில் 2000 ஆம் ஆண்டு மார்ச் மாதம் 'போமிஸ்' (en:Bomis) வலைப்பக்க நிறுவனத்தால், நுபீடியா ஆரம்பிக்கப்பட்டது.",Tamil
"அதன் நோக்கம், நுபீடியாவை, ஓர் இலவச இணையத்தள ஆங்கில மொழிக் கலைக்களஞ்சியத் திட்டமாகவும் அமைப்பதாக இருந்தது.",Tamil
"நிபுணர்களால் எழுதப்பட்ட கட்டுரைகளை, வழக்கப்படியான செய்முறைப்படி பரிசீலித்து வெளியிடுவதாகவே இத்திட்டம் அமைந்திருந்தது.",Tamil
"[29] போமிஸ் நிறுவனத்திற்குச் சொந்தமான நுபீடியாவின் முக்கிய நபர்களாக,  முதன்மைச் செயலதிகாரியான ஜிம்மி வேல்ஸ் உம் லாரி சாங்கர் உம் இருந்தார்கள்.",Tamil
"[30][31] லாரி சாங்கர், முதலில் நுபீடியாவிற்கும், பின்னர் விக்கிப்பீடியாவிற்கும் தலைமை ஆசிரியராகப் பணியாற்றியவர் ஆவார்.",Tamil
"நுபீடியாவிற்கு, இணைய விளம்பர நிறுவனமான 'போமிஸ்', நிதி வழங்கியது.",Tamil
"ஆரம்ப காலத்தில், நுபீடியாவிற்கு, அதன் சொந்த நுபீடியா மூலம் திறந்த உள்ளடக்க உரிமம் வழங்கப்பட்டது.",Tamil
"பின்னர், ரிச்சர்ட் ஸ்டால்மன் அவர்களின் தூண்டுதலால், நுபீடியாவானது, விக்கிப்பீடியாவாக மாற்றமடையும் முன்னரே குனூ தளையறு ஆவண உரிமத்திற்கு மாற்றப்பட்டது.",Tamil
[32] லாரி சாங்கர் மற்றும் ஜிம்மி வேல்ஸ் இருவருமே விக்கிப்பீடியாவின் நிறுவனர்கள் ஆவர்.,Tamil
[30][31] 'பொதுவில் பதிப்பிடக்கூடிய கலைக்களஞ்சியம்' என்ற குறிக்கோளை வரையறை செய்த பெருமை[33][34] வேல்ஸையே சாரும்.,Tamil
"திறமூல விக்கியை வைத்து அந்தக் குறிக்கோளை அடையச் செய்த, திட்டவடிவம் கொடுத்த பெருமை, சாங்கரையேச் சாரும்.",Tamil
"[35] ஜனவரி 10, 2001 அன்று விக்கித் தொழில்நுட்பத்தை, நுபீடியாவிற்கு ஆதாரம் கொடுக்கும் திட்டமாக ஆக்க, லாரி சாங்கர், நுபீடியாவின் மின்னஞ்சல் பட்டியலூடாக ஒரு பரிந்துரை கொடுத்தார்.",Tamil
"[36] ஜனவரி 12, 2001,[37] ஜனவரி 13, 2001[38] இல் முறையே விக்கிப்பீடியா.கொம், விக்கிப்பீடியா.ஓர்க் ஆகிய ஆள்களப் பெயர்கள் பதிவு செய்யப்பட்டன.",Tamil
"ஜனவரி 15, 2001 அன்று சம்பிரதாயத்துக்காக விக்கிப்பீடியா அறிமுகப்படுத்தப்பட்டது.",Tamil
[29] அது ஒரு தனிப்பட்ட ஆங்கில மொழிப் பதிப்பாக விக்கிப்பீடியா.காம் .,Tamil
"[39] என்ற பெயரில் வெளியிடப்பட்டு, நுபீடியா மின்னஞ்சல் பட்டியலில் லாரி சாங்கரால் அறிவிக்கப்பட்டது.",Tamil
"[33] விக்கிப்பீடியா ஆரம்பித்து சில மாதங்களில், 'நடுநிலைமை', ஒரு கொள்கையாக முன்னிறுத்தப்பட்டது.",Tamil
"[40] இது நுபீடியாவின் முந்தைய ""மனச்சார்பு இல்லாத"" கொள்கைக்கு இணையானது.",Tamil
"தவிர, ஆரம்பத்தில் வேறு சில விதிமுறைகள் மட்டுமே விக்கிப்பீடியாவில் இருந்ததுடன், விக்கிப்பீடியாவானது, நுபீடியாவிலிருந்து தனித்து, சுயாதீனமாக இயங்கத் தொடங்கியது.",Tamil
"[33] ஆரம்பத்தில், போமிஸ், இதனை ஒரு வணிக ரீதியில் ஆதாயம் கிடைக்கும்படியான திட்டமாகச் செய்யவே நினைத்திருந்தது.",Tamil
"[41] விக்கிப்பீடியாவின் ஆரம்ப காலத்தில், நுபீடியா, ஸ்லாஷ்டாட் (en:Slashdot) பதிவுகள், வலை தேடு பொறி குறியீட்டு ஆக்கங்கள் போன்றவற்றிலிருந்து பங்களிப்புகளைப் பெற்றுக் கொண்டது.",Tamil
"பின்னர் வெவ்வேறு மொழிகளில் விக்கிப்பீடியா உருவாக்கப்பட்டு, 2001 ஆம் ஆண்டின் முடிவில் கிட்டத்தட்ட 20,000 கட்டுரைகளுடன் 18 மொழிகளில் வளர்ந்தது.",Tamil
"2002 ஆம் ஆண்டின் பிற்பகுதியில் 26 மொழிகளிலும், 2003 ஆம் ஆண்டு முடிவில் 46 மொழிகளிலும் வளர்ந்த விக்கிப்பீடியா, 2004 ஆம் ஆண்டின் முடிவில் 161 மொழிகளில் இயங்கும் கலைக்களஞ்சியமாக உயர்ந்தது.",Tamil
"[42] நுபீடியாவிலிருந்த அனைத்து உள்ளடக்கங்களும், விக்கிப்பீடியாவினுள் சேர்க்கப்பட்டதும், 2003 ஆம் ஆண்டில், நுபீடியாவிற்கான வழங்கி இல்லாது செய்யப்பட்ட காலம்வரை, நுபீடியாவும், விக்கிப்பீடியாவும் ஒன்றுசேர்ந்து இயங்கி வந்தன.",Tamil
"செப்டம்பர் 9, 2007 அன்று ஆங்கில விக்கிப்பீடியா 2 மில்லியன் கட்டுரைகளைக் கடந்து, இது வரை சாதிக்காத வகையில் மிகப்பெரும் கலைக்களஞ்சியமாக, 600 ஆண்டுகள் வரை சாதனையாக விளங்கிய யோங்களே கலைக்களஞ்சியத்தை (:en:Yongle Encyclopedia), விஞ்சி முன்னேறியது.",Tamil
"[43] விக்கிபீடியாவின் கட்டுப்பாடில்லாத தன்மையாலும், வர்த்தக விளம்பரங்களின் அச்சத்தினாலும், எசுப்பானிய விக்கிப்பீடியாவின் பயனாளிகள் 2002 ஆம் ஆண்டு பிப்ரவரியில் விக்கிப்பீடியாவிலிருந்து பிரிந்து என்சிச்லோபெடியா லிப்ரேவை (en:Enciclopedia Libre Universal en Español) உருவாக்கினர்.",Tamil
"[44] அதனால், அந்த ஆண்டின் இறுதியில், விக்கிப்பீடியா விளம்பரங்களைக் காட்டாது என்றும், அதன் இணையதளம், wikipedia.org என்ற வலைதளத்துக்கு மாற்றம் செய்துவிட்டதாகவும் ஜிம்மி வேல்ஸ் அறிவித்தார்.",Tamil
"[45] பரந்த பயன்பாட்டுக்கு உட்பட்டுவரும் விக்கிப்பீடியா, பல சகோதரத் திட்டங்களையும் நடைமுறைப்படுத்தி மேலும் வளர்ந்து வருகின்றது.",Tamil
"—மீக்கா ரியோக்காசு[53] ஏனைய பாரம்பரியக் கலைக்களஞ்சியங்களைப் போலல்லாது, விக்கிப்பீடியா வெளித்தொகுப்புக்களை ஏற்கிறது.",Tamil
"எனினும், முக்கியமான அல்லது குழப்பம் விளைவிக்கும் ஆபத்துடைய சில கட்டுரைகள், தொகுக்க முடியாமல் பாதுகாக்கப்பட்டுள்ளன.",Tamil
"[54] மேலும், கட்டுரையை வாசிக்கும் எந்தவொரு வாசகரும் கணக்கொன்று இல்லாமலேயே கட்டுரைகளைத் தொகுக்க முடியும்.",Tamil
"எனினும், வெவ்வேறு மொழிப்பதிப்புகளில் இக் கொள்கை வித்தியாசமாகக் கடைப்பிடிக்கப்படுகிறது.",Tamil
"உதாரணமாக, ஆங்கிலப் பதிப்பில், பதிவுசெய்த பயனர் மட்டுமே புதிய கட்டுரையொன்றை உருவாக்க முடியும்.",Tamil
"[55] எந்தவொரு கட்டுரையையும் அதனை உருவாக்கியவரோ, வேறு பயனரோ உரிமை கொண்டாட முடியாது என்பதோடு, எந்தவொரு அங்கீகரிக்கப்பட்ட அதிகாரத் தரப்பும், அதனை ஆராய முடியாது.",Tamil
"அதற்குப் பதிலாகத் தொகுப்பாளர்கள், தம்மிடையேயான கருத்தொருமிப்பின் அடிப்படையில் கட்டுரைகளின் உள்ளடக்கங்களையும், அமைப்புகளையும் ஏற்றுக்கொள்ள வேண்டும்.",Tamil
"[56] வழமையாக, கட்டுரையொன்றில் மேற்கொள்ளப்படும் தொகுப்பானது, உடனடியாக இற்றைப்படுத்தப்படும்.",Tamil
"எனவே, இக்கட்டுரைகளில் துல்லியமின்மை, கருத்துக் கோடல்கள் அல்லது காப்புரிமைத் தகவல்கள் இடம்பெறலாம்.",Tamil
"ஒவ்வொரு மொழிப்பதிப்பும் வெவ்வேறு நிர்வாகக் கட்டுப்பாடுகளைக் கொண்டிருப்பதுடன், இக்கொள்கைகளிலும் திருத்தங்களைக் கொண்டுவரலாம்.",Tamil
"உதாரணமாகச், செருமானிய விக்கிப்பீடியாவில் கட்டுரைத் தொகுப்புக்கள், சில மேற்பார்வையிடல்களுக்குப் பின் உறுதிப்படுத்தப்படுகின்றன.",Tamil
"[57] பல்வேறு சோதனை ஓட்டங்கள் மற்றும் கலந்துரையாடல்களுக்குப் பின், டிசம்பர் 2012 அன்று, ""மாற்றங்களுக்கான காத்திருப்பு"" முறைமை, ஆங்கில விக்கிப்பீடியாவில் அறிமுகப்படுத்தப்பட்டது.",Tamil
"[58] இம்முறைமையின் கீழ், சர்ச்சைக்குரிய அல்லது குழப்பம் விளைவிக்கக்கூடிய ஆபத்துடைய கட்டுரைகளின் மீதான புதிய பயனர்களின் தொகுப்புக்கள், அங்கீகரிக்கப்பட்ட ஒரு விக்கிப்பீடியா பயனரின் மேற்பார்வையின் பின்னரே வெளியிடப்படும்.",Tamil
"விக்கிப்பீடியாவுக்கு உதவும் ‘மென்பொருட்கள்’, பங்களிப்பாளர்களுக்கு உதவிகரமாக இருக்கும்.",Tamil
"ஒவ்வொரு கட்டுரையிலும் காணப்படும் ""வரலாற்றைக் காட்டவும்"" பக்கம், திருத்தங்களைப் (திருத்தங்கள், அவதூறான தகவல்கள், குற்ற அச்சுறுத்தல் அல்லது காப்புரிமை மீறல் போன்றன மீளமைக்கப்படக் கூடியனவாய் இருப்பினும்) பதிவு செய்யும்.",Tamil
"[59] இப்பக்கத்தைப் பயன்படுத்துவதன் மூலம், பயனர்கள், விரும்பத்தகாத தொகுப்புக்களை மீளமைக்கவோ, இழக்கப்பட்ட தகவல்களை மீளப்பெறவோ முடியும்.",Tamil
"ஒவ்வொரு கட்டுரைக்குமான ‘பேச்சுப்பக்கம்’, பல்வேறு பயனர்களும் தம்முள் ஒருங்கிணைந்து செயற்பட உதவுகிறது.",Tamil
"[60] முக்கியமாகத் தொகுப்பாளர்கள், பேச்சுப்பக்கத்தைப் பயன்படுத்திக் கருத்தொருமிப்புப் பெற முடியும்.",Tamil
[61] சிலவேளைகளில் இதற்காக வாக்கெடுப்பும் நடத்தப்படும்.,Tamil
தொகுப்பாளர்கள் இவ்விணையப் பக்கத்தின் அண்மைய மாற்றங்களையும் காணமுடியும்.,Tamil
"இது, ‘இறங்கு வரிசை’யில் ஒழுங்குபடுத்தப்பட்டிருக்கும்.",Tamil
"வழமையான பங்களிப்பாளர்கள், கவனிப்புப் பட்டியல் ஒன்றை உருவாக்கியிருப்பர்.",Tamil
"இதன்மூலம், தமக்கு விருப்பமான கட்டுரைகளில் அண்மையில் ஏற்படுத்தப்பட்டுள்ள மாற்றங்களைப் பார்வையிட முடியும்.",Tamil
"அதிகமான கட்டுரைகளைக் கொண்ட மொழிப் பதிப்புக்களில், தொகுப்பாளர்கள் கவனிப்புப் பட்டியலைப் பேண விரும்புகின்றனர்.",Tamil
"தொகுப்புக்கள் அதிகரிப்பதன் காரணமாக, ‘அண்மைய மாற்றங்கள்’ பகுதியில், சில தொகுப்புக்கள் இடம்பெற முடியாமல் போவதே இதற்குக் காரணமாகும்.",Tamil
புதிய பக்கக் கண்காணிப்பு செயன்முறையின் மூலம் புதிதாக உருவாக்கப்பட்ட கட்டுரைகளில் நிகழும் வெளிப்படையான தவறுகள் கண்காணிக்கப்படுகின்றன.,Tamil
"[62] அடிக்கடி தாக்குதலுக்குள்ளாகும் கட்டுரைகளுக்கு, அரைப் பாதுகாப்பு வழங்கப்பட்டுக் குறிப்பிட்ட பயனர்கள் மாத்திரமே தொகுக்கும் வகையில் பாதுகாக்கப்படுகின்றன.",Tamil
"[63] குறிப்பிடத்தக்க, சர்ச்சைக்குரிய கட்டுரைகள் பூட்டப்பட்டு நிர்வாகிகள் மட்டுமே மாற்றங்களை மேற்கொள்ளும் வகையில் காக்கப்படுகின்றன.",Tamil
"[64] தானியங்கிகள் எனப்படும் ‘கணினிச் செய்நிரல்கள்’ மூலமாக எளிமையான, மீண்டும் மீண்டும் செய்ய வேண்டிய பணிகள் செய்யப்படுகின்றன.",Tamil
"உதாரணமாக, இவற்றின் மூலம் பொதுவான எழுத்துப்பிழைகளைத் திருத்தல், ஒழுங்கமைவுப் பிரச்சினைகள் அல்லது புவியியல் சார் கட்டுரைகளைத் துவக்கல் போன்றவற்றைக் குறிப்பிடலாம்.",Tamil
"[65][66][67] சில தானியங்கிகள், வேண்டத்தகாத தொகுப்புக்களை மேற்கொள்ளும் பயனர்களை எச்சரிப்பதற்காகவும் பயன்படுத்தப்படுகின்றன.",Tamil
"[68] இதன்மூலம், வேறு இணையத் தளங்களுக்கான இணைப்புகள் தடுக்கப்படுவதோடு, சில குறிப்பிட்ட பயனர் கணக்குகள் அல்லது ஐபி முகவரிகளினால் தொகுப்புக்கள் ஏற்படுத்துவதைத் தடுக்கவும் முடியும்.",Tamil
"விக்கிப்பீடியாவிலுள்ள தானியங்கிகள், இயக்கத்துக்கு முன் நிர்வாகிகளினால் அங்கீகரிக்கப்படல் வேண்டும்.",Tamil
"[69] விக்கிப்பீடியாவிலுள்ள கட்டுரைகள், அவற்றின் விருத்தி நிலை அடிப்படையிலும், விடய அடிப்படையிலும் ஒழுங்கமைக்கப்பட்டிருக்கும்.",Tamil
"[70] ஒரு புதியகட்டுரை, பெரும்பாலும் வரைவிலக்கணம் மற்றும் சில இணைப்புகள் மாத்திரமே கொண்ட ஒரு குறுங்கட்டுரையாகவே ஆரம்பிக்கப்படும்.",Tamil
"அதேபோல் பெரும்பாலான விடயங்கள் உள்ளடக்கப்பட்ட பெரிய கட்டுரைகள், சிறப்புக் கட்டுரைகள் என வகைப்படுத்தப்படும்.",Tamil
"சில விக்கிப்பீடியாக்களில், ஒவ்வொரு நாளும் தொகுப்பாளர்களால் தேர்ந்தெடுக்கப்பட்ட ""சிறப்புக் கட்டுரை”யொன்று விக்கிப்பீடியாவின் முதற்பக்கத்தில் காட்டப்படும்.",Tamil
"[71][72] ‘சியாகோமோ பொதேரி’ எனும் ஆய்வாளரின் கண்டுபிடிப்பின்படி, சில தொகுப்பாளர்கள், ஊக்கத்துடன் குறிப்பிட்ட ஒரு கட்டுரையைத் தொகுப்பதன் மூலமே, சிறப்புக்கட்டுரைத் தரம் எட்டப்படுகிறது.",Tamil
"[73] 2010-இல் மேற்கொள்ளப்பட்ட ஆய்வொன்று, சிறப்புக்கட்டுரைகளிடையே, அவற்றின் தரங்கள் வேறுபட்டிருப்பதைக் கண்டறிந்ததோடு, கட்டுரைகளின் தரத்தைக் கணிப்பதில் ‘குழுச் செயற்பாடு’, போதிய தாக்கத்தை ஏற்படுத்தவில்லை எனவும் கருத்து வெளியிட்டது.",Tamil
"[74] 2007-இல், அச்சுவழிப் பதிப்பொன்றை உருவாக்கும் நடவடிக்கையின் போது, ஆங்கில விக்கிப்பீடியா, கட்டுரைகளின் தரத்தைக் கணிப்பிடும் அளவுத்திட்டத்துக்கு எதிரான புதிய தரக்கணிப்பீட்டு முறையை அறிமுகப்படுத்தியது.",Tamil
"[75] விக்கிப்பீடியா தொகுப்பாளர்களின் குழுவொன்று, விக்கித்திட்டம் ஒன்றை உருவாக்கி, குறிப்பிட்ட ஒரு துறையில், தமது பங்களிப்புக்களை வழங்குகின்றது.",Tamil
"இத்திட்டத்தின் ‘பேச்சுப் பக்கம்’ மூலம், பல்வேறு கட்டுரைகளிலும் மேற்கொள்ளப்படும் மாற்றங்களை ஒருங்கிணைப்பர்.",Tamil
"விக்கிப்பீடியா, கட்டற்ற “விக்கிமீடீயா” மென்பொருளில் இயங்குகிறது.",Tamil
"இது “பி.எச்.பி.”, “மைசீக்குவல்” ஆகிய ‘இணைய நிரல் மொழிகள்' மூலம் எழுதப்பட்டது.",Tamil
"இவற்றோடு “எச்.டி.எம்.எல்.”, “சி.எசு.எசு.” ஆகியவையும் பக்கங்களை வடிவமைக்கப் பயன்படுத்தப்படுகின்றன.",Tamil
"விக்கிப்பீடியா, ஒரு தனி ‘வழங்கி’யில், 2004 வரை இயங்கி வந்தது.",Tamil
"அதன் பின்னர், “பல்நிலை வழங்கிக் கட்டமைப்பு”க்கு விக்கிப்பீடியா மாற்றப்பட்டது.",Tamil
"தற்போது 100-க்கும் மேற்பட்ட வழங்கிகள், உலகின் நான்கு பகுதிகளில் விக்கிப்பீடியாவை வழங்குகின்றன.",Tamil
"முதன்மைக் கட்டுரை: தமிழ் விக்கிப்பீடியா தமிழ் விக்கிப்பீடியா முயற்சியானது, 2003 ஆம் ஆண்டு ஆரம்பமானது.",Tamil
"தற்போது இதில் 1,73,237 கட்டுரைகள் உள்ளன.",Tamil
"2,42,531 பயனர் கணக்குகள் பதிவு செய்யப்பட்டுள்ளன.",Tamil
"நியூயார்க்கைச் சேர்ந்த ஆசிரியர் ‘மைக்கேல் மாண்டி’ என்பவர், ஆங்கில விக்கியைப் புத்தகமாகத் தொகுத்துள்ளார்.",Tamil
".ஆங்கிலத்தில் அதிக சரளமாக மாற நாம் அனைவரும் விரைவான வழிகளைத் தேடுகிறோம், என்ன நடக்கிறது என்பது எனக்குத் தெரியும், நம் மூளையைச் சுற்றி ஒரு சில சொற்கள் உள்ளன, மேலும் இந்த முழு உரையாடலையும் அற்புதமான அற்புதமான குளிர் அல்லது காவியத்தைப் பயன்படுத்தி உருவாக்க வேண்டும், எனவே நாம் எப்படி உங்கள் அன்றாட வாழ்க்கையில் நீங்கள் பயன்படுத்தக்கூடிய சில புதிய புதிய ஆங்கில சொற்களைக் கற்றுக் கொள்ளுங்கள் மற்றும் உங்கள் சொற்களஞ்சியத்தை நிமிடங்களில் உயர்த்தலாம்.",Tamil
"எனவே இன்று நாம் 10 புதிய ஸ்மார்ட் சொற்களைக் கற்றுக்கொள்ளப் போகிறோம், அவற்றின் அர்த்தங்கள் மூல சொற்கள் மற்றும் எடுத்துக்காட்டு வாக்கியங்கள், எனவே அனைவருக்கும் இது போகலாம், இது நீங்கள் பார்த்துக் கொண்டிருக்கிறீர்கள்.",Tamil
இந்த வீடியோவில் நான் தினசரி பயன்பாட்டிற்காகவும் இந்த வீடியோவின் முடிவிலும் 10 ஸ்மார்ட் சொற்களை உங்களுக்கு தருகிறேன்.,Tamil
உண்மையிலேயே சரளமாக ஸ்மார்ட் சொல் எண்ணை ஒலிக்க நான் உங்களுக்கு ஒரு ஸ்மார்ட் டிப் கொடுக்கப் போகிறேன்.,Tamil
"ஒன்று சதுப்புநிலமானது சதுப்பு நிலத்தில் மூழ்கி அல்லது வெள்ளம் என்று பொருள், ஆனால் சதுப்பு நிலமானது பெரும்பாலும் நான் போன்ற வேலை சூழலில் பயன்படுத்தப்படுகிறது ' நான் வேலையுடன் சதுப்பு நிலத்தில் இருக்கிறேன், எனக்கு அதிக வேலை இருக்கிறது, இந்த வாரம் முழுவதும் நான் வேலையில் சிக்கியிருக்கிறேன், இப்போது சுவாசிக்க எனக்கு நேரமில்லை, இப்போது இந்த வார்த்தையின் மூலத்தைப் பார்ப்போம்.",Tamil
"சதுப்புநிலம் என்பது ஈரநிலத்தின் ஒரு பகுதி மற்றும் யாரோ ஒரு சதுப்பு நிலத்தில் தவறான இடத்தில் நுழைந்தால் அவர்கள் எளிதில் மூழ்கிவிடுவார்கள் மற்றும் சதுப்பு நிலத்தின் வினை வடிவம் மூழ்குவதைக் குறிக்கிறது, எனவே இந்த வார்த்தையை நீங்கள் எவ்வாறு பயன்படுத்தலாம் என்பது இங்கே.",Tamil
"உங்களிடம் நிறைய பணிகள் உள்ளன என்று சொல்லலாம், உங்களுக்கு ஒரு சோதனை வருகிறது, உங்கள் நண்பர்கள் உங்களிடம் வருகிறார்கள், அவர்கள் சொல்கிறார்கள்.",Tamil
"ஏய் ஏன் நீங்கள் எங்களுடன் ஹேங்கவுட் செய்யக்கூடாது என்று நீங்கள் அவர்களிடம் சொல்லலாம், நான் மிகவும் வருந்துகிறேன், ஆனால் நான் வேலையில் சிக்கியிருக்கிறேன் அல்லது சதுப்பு நிலத்தின் இடத்தில் நீங்கள் பயன்படுத்தக்கூடிய வேறு சில சொற்களை நான் சதுப்பு நிலமாகக் கொண்டுள்ளேன்.",Tamil
செய்ய.,Tamil
என் தட்டில் நான் வேலையில் மூழ்கி இருக்கிறேன்.,Tamil
"ஸ்மார்ட் சொல் எண் இரண்டு கேட்ச் -22 என்பது பணிகள் குறித்து நான் மயங்கிவிட்டேன், இப்போது நான் உறுதியாக இருக்கிறேன் ' கேட்ச் -22 க்கு முன்பு இந்த வார்த்தையை நான் கேள்விப்பட்டிருக்கிறேன், அதாவது நீங்கள் மற்றதைச் செய்தாலன்றி ஒரு காரியத்தைச் செய்ய இயலாது, மற்றதைச் செய்ய முடியாது, ஏனெனில் நீங்கள் முதலில் செய்யவில்லை.",Tamil
"நான் உங்களை குழப்பிவிட்டேன், எனவே உங்களுக்கு சில அனுபவங்களைத் தருகிறேன், வேலை அனுபவம் இல்லாமல் உங்களுக்கு வேலை கிடைக்காதபோது ஒரு பிடிப்பு -22 நிலைமை.",Tamil
ஆனால் நீங்கள் ஒரு வேலையைப் பெறும் வரை அனுபவத்தைப் பெற முடியாது -22 ஜோசப் ஹெல்லரால் அவரது புகழ்பெற்ற புத்தகமான கேட்ச் -22 என்ற புத்தகத்தில் அவர் இரண்டாம் உலகப் போரின்போது படையினருக்கு பொருந்தக்கூடிய சில முரண்பாடான விதிகளை விவரிக்கும் போது உருவாக்கப்பட்டது.,Tamil
"கேட்ச் -22 இன் மற்றொரு எடுத்துக்காட்டு உங்களுக்கு வங்கி கடன் தேவை, ஏனெனில் உங்களிடம் போதுமானதாக இல்லை.",Tamil
